company,period_end,capex_usd_m,source_type
Alphabet,2020-03-31,6005,10-Q/10-K (EDGAR XBRL)
Alphabet,2020-06-30,5391,10-Q/10-K (EDGAR XBRL)
Alphabet,2020-09-30,5406,10-Q/10-K (EDGAR XBRL)
Alphabet,2020-12-31,5479,10-Q/10-K (EDGAR XBRL)
Alphabet,2021-03-31,5942,10-Q/10-K (EDGAR XBRL)
Alphabet,2021-06-30,5496,10-Q/10-K (EDGAR XBRL)
Alphabet,2021-09-30,6819,10-Q/10-K (EDGAR XBRL)
Alphabet,2021-12-31,6383,10-Q/10-K (EDGAR XBRL)
Alphabet,2022-03-31,9786,10-Q/10-K (EDGAR XBRL)
Alphabet,2022-06-30,6828,10-Q/10-K (EDGAR XBRL)
Alphabet,2022-09-30,7276,10-Q/10-K (EDGAR XBRL)
Alphabet,2022-12-31,7595,10-Q/10-K (EDGAR XBRL)
Alphabet,2023-03-31,6289,10-Q/10-K (EDGAR XBRL)
Alphabet,2023-06-30,6888,10-Q/10-K (EDGAR XBRL)
Alphabet,2023-09-30,8055,10-Q/10-K (EDGAR XBRL)
Alphabet,2023-12-31,11019,10-Q/10-K (EDGAR XBRL)
Alphabet,2024-03-31,12012,10-Q/10-K (EDGAR XBRL)
Alphabet,2024-06-30,13186,10-Q/10-K (EDGAR XBRL)
Alphabet,2024-09-30,13061,10-Q/10-K (EDGAR XBRL)
Alphabet,2024-12-31,14276,10-Q/10-K (EDGAR XBRL)
Alphabet,2025-03-31,17197,10-Q/10-K (EDGAR XBRL)
Alphabet,2025-06-30,22446,10-Q/10-K (EDGAR XBRL)
Alphabet,2025-09-30,23953,10-Q/10-K (EDGAR XBRL)
Alphabet,2025-12-31,27851,10-Q/10-K (EDGAR XBRL)
Alphabet,2026-03-31,35674,10-Q/10-K (EDGAR XBRL)
Microsoft,2020-03-31,3767,10-Q/10-K (EDGAR XBRL)
Microsoft,2020-06-30,4744,10-Q/10-K (EDGAR XBRL)
Microsoft,2020-09-30,4907,10-Q/10-K (EDGAR XBRL)
Microsoft,2020-12-31,4174,10-Q/10-K (EDGAR XBRL)
Microsoft,2021-03-31,5089,10-Q/10-K (EDGAR XBRL)
Microsoft,2021-06-30,6452,10-Q/10-K (EDGAR XBRL)
Microsoft,2021-09-30,5810,10-Q/10-K (EDGAR XBRL)
Microsoft,2021-12-31,5865,10-Q/10-K (EDGAR XBRL)
Microsoft,2022-03-31,5340,10-Q/10-K (EDGAR XBRL)
Microsoft,2022-06-30,6871,10-Q/10-K (EDGAR XBRL)
Microsoft,2022-09-30,6283,10-Q/10-K (EDGAR XBRL)
Microsoft,2022-12-31,6274,10-Q/10-K (EDGAR XBRL)
Microsoft,2023-03-31,6607,10-Q/10-K (EDGAR XBRL)
Microsoft,2023-06-30,8943,10-Q/10-K (EDGAR XBRL)
Microsoft,2023-09-30,9917,10-Q/10-K (EDGAR XBRL)
Microsoft,2023-12-31,9735,10-Q/10-K (EDGAR XBRL)
Microsoft,2024-03-31,10952,10-Q/10-K (EDGAR XBRL)
Microsoft,2024-06-30,13873,10-Q/10-K (EDGAR XBRL)
Microsoft,2024-09-30,14923,10-Q/10-K (EDGAR XBRL)
Microsoft,2024-12-31,15804,10-Q/10-K (EDGAR XBRL)
Microsoft,2025-03-31,16745,10-Q/10-K (EDGAR XBRL)
Microsoft,2025-06-30,17079,10-Q/10-K (EDGAR XBRL)
Microsoft,2025-09-30,19394,10-Q/10-K (EDGAR XBRL)
Microsoft,2025-12-31,29876,10-Q/10-K (EDGAR XBRL)
Microsoft,2026-03-31,30876,10-Q/10-K (EDGAR XBRL)
Amazon,2020-03-31,6795,10-Q/10-K (EDGAR XBRL)
Amazon,2020-06-30,7459,10-Q/10-K (EDGAR XBRL)
Amazon,2020-09-30,11063,10-Q/10-K (EDGAR XBRL)
Amazon,2020-12-31,14823,10-Q/10-K (EDGAR XBRL)
Amazon,2021-03-31,12082,10-Q/10-K (EDGAR XBRL)
Amazon,2021-06-30,14288,10-Q/10-K (EDGAR XBRL)
Amazon,2021-09-30,15748,10-Q/10-K (EDGAR XBRL)
Amazon,2021-12-31,18935,10-Q/10-K (EDGAR XBRL)
Amazon,2022-03-31,14951,10-Q/10-K (EDGAR XBRL)
Amazon,2022-06-30,15724,10-Q/10-K (EDGAR XBRL)
Amazon,2022-09-30,16378,10-Q/10-K (EDGAR XBRL)
Amazon,2022-12-31,16592,10-Q/10-K (EDGAR XBRL)
Amazon,2023-03-31,14207,10-Q/10-K (EDGAR XBRL)
Amazon,2023-06-30,11455,10-Q/10-K (EDGAR XBRL)
Amazon,2023-09-30,12479,10-Q/10-K (EDGAR XBRL)
Amazon,2023-12-31,14588,10-Q/10-K (EDGAR XBRL)
Amazon,2024-03-31,14925,10-Q/10-K (EDGAR XBRL)
Amazon,2024-06-30,17620,10-Q/10-K (EDGAR XBRL)
Amazon,2024-09-30,22620,10-Q/10-K (EDGAR XBRL)
Amazon,2024-12-31,27834,10-Q/10-K (EDGAR XBRL)
Amazon,2025-03-31,25019,10-Q/10-K (EDGAR XBRL)
Amazon,2025-06-30,32183,10-Q/10-K (EDGAR XBRL)
Amazon,2025-09-30,35095,10-Q/10-K (EDGAR XBRL)
Amazon,2025-12-31,39522,10-Q/10-K (EDGAR XBRL)
Amazon,2026-03-31,44203,10-Q/10-K (EDGAR XBRL)
Meta,2020-03-31,3558,10-Q/10-K (EDGAR XBRL)
Meta,2020-06-30,3255,10-Q/10-K (EDGAR XBRL)
Meta,2020-09-30,3689,10-Q/10-K (EDGAR XBRL)
Meta,2020-12-31,4661,10-Q/10-K (EDGAR XBRL)
