company,fiscal_year,ocf_usd_m,source_type,source_doc
Alphabet,2018,47971,10-K (EDGAR XBRL),0001652044-19-000004
Alphabet,2019,54520,10-K (EDGAR XBRL),0001652044-20-000008
Alphabet,2020,65124,10-K (EDGAR XBRL),0001652044-21-000010
Alphabet,2021,91652,10-K (EDGAR XBRL),0001652044-22-000019
Alphabet,2022,91495,10-K (EDGAR XBRL),0001652044-23-000016
Alphabet,2023,101746,10-K (EDGAR XBRL),0001652044-24-000022
Alphabet,2024,125299,10-K (EDGAR XBRL),0001652044-25-000014
Alphabet,2025,164713,10-K (EDGAR XBRL),0001652044-26-000018
Microsoft,2018,43884,10-K (EDGAR XBRL),0001564590-18-019062
Microsoft,2019,52185,10-K (EDGAR XBRL),0001564590-19-027952
Microsoft,2020,60675,10-K (EDGAR XBRL),0001564590-20-034944
Microsoft,2021,76740,10-K (EDGAR XBRL),0001564590-21-039151
Microsoft,2022,89035,10-K (EDGAR XBRL),0001564590-22-026876
Microsoft,2023,87582,10-K (EDGAR XBRL),0000950170-23-035122
Microsoft,2024,118548,10-K (EDGAR XBRL),0000950170-24-087843
Microsoft,2025,136162,10-K (EDGAR XBRL),0000950170-25-100235
Amazon,2018,30723,10-K (EDGAR XBRL),0001018724-19-000004
Amazon,2019,38514,10-K (EDGAR XBRL),0001018724-20-000004
Amazon,2020,66064,10-K (EDGAR XBRL),0001018724-21-000004
Amazon,2021,46327,10-K (EDGAR XBRL),0001018724-22-000005
Amazon,2022,46752,10-K (EDGAR XBRL),0001018724-23-000004
Amazon,2023,84946,10-K (EDGAR XBRL),0001018724-24-000008
Amazon,2024,115877,10-K (EDGAR XBRL),0001018724-25-000004
Amazon,2025,139514,10-K (EDGAR XBRL),0001018724-26-000004
Meta,2018,29274,10-K (EDGAR XBRL),0001326801-19-000009
Meta,2019,36314,10-K (EDGAR XBRL),0001326801-20-000013
Meta,2020,38747,10-K (EDGAR XBRL),0001326801-21-000014
Meta,2021,57683,10-K (EDGAR XBRL),0001326801-22-000018
Meta,2022,50475,10-K (EDGAR XBRL),0001326801-23-000013
Meta,2023,71113,10-K (EDGAR XBRL),0001326801-24-000012
Meta,2024,91328,10-K (EDGAR XBRL),0001326801-25-000017
Meta,2025,115800,10-K (EDGAR XBRL),0001628280-26-003942
Oracle,2018,15386,10-K (EDGAR XBRL),0001193125-18-201034
Oracle,2019,14551,10-K (EDGAR XBRL),0001564590-19-023119
Oracle,2020,13139,10-K (EDGAR XBRL),0001564590-20-030125
Oracle,2021,15887,10-K (EDGAR XBRL),0001564590-21-033616
Oracle,2022,9539,10-K (EDGAR XBRL),0001564590-22-023675
Oracle,2023,17165,10-K (EDGAR XBRL),0000950170-23-028914
Oracle,2024,18673,10-K (EDGAR XBRL),0000950170-24-075605
Oracle,2025,20821,10-K (EDGAR XBRL),0000950170-25-087926
