company,year,price,source_type,note
AT&T,2015,26.09,reported,Yahoo Finance adjusted close at start of year
AT&T,2016,29.57,reported,
AT&T,2017,29.10,reported,
AT&T,2018,24.41,reported,
AT&T,2019,23.10,reported,
AT&T,2020,23.31,reported,
AT&T,2021,22.23,reported,
AT&T,2022,21.29,reported,
AT&T,2023,15.73,reported,
AT&T,2024,18.22,reported,
AT&T,2025,27.80,reported,
AT&T,2026,24.80,reported,
Verizon,2015,49.44,reported,
Verizon,2016,50.90,reported,
Verizon,2017,46.64,reported,
Verizon,2018,47.67,reported,
Verizon,2019,54.35,reported,
Verizon,2020,57.38,reported,
Verizon,2021,56.49,reported,
Verizon,2022,51.29,reported,
Verizon,2023,35.63,reported,
Verizon,2024,41.15,reported,
Verizon,2025,43.96,reported,
Verizon,2026,47.81,reported,
Deutsche Telekom,2015,15.65,reported,EUR
Deutsche Telekom,2016,15.87,reported,
Deutsche Telekom,2017,17.73,reported,
Deutsche Telekom,2018,13.22,reported,
Deutsche Telekom,2019,15.11,reported,
Deutsche Telekom,2020,14.18,reported,
Deutsche Telekom,2021,16.99,reported,
Deutsche Telekom,2022,19.12,reported,
Deutsche Telekom,2023,20.75,reported,
Deutsche Telekom,2024,22.29,reported,
Deutsche Telekom,2025,33.28,reported,
Deutsche Telekom,2026,28.86,reported,
