company,year,adj,source_type,note
AT&T,2015,11.85,reported,Yahoo Finance dividend- and split-adjusted close at start of year (TSR proxy)
AT&T,2016,14.46,reported,
AT&T,2017,15.15,reported,
AT&T,2018,13.59,reported,
AT&T,2019,13.93,reported,
AT&T,2020,15.19,reported,
AT&T,2021,15.90,reported,
AT&T,2022,16.81,reported,
AT&T,2023,13.18,reported,
AT&T,2024,16.33,reported,
AT&T,2025,26.36,reported,
AT&T,2026,24.54,reported,
Verizon,2015,27.41,reported,
Verizon,2016,29.61,reported,
Verizon,2017,28.31,reported,
Verizon,2018,30.36,reported,
Verizon,2019,36.23,reported,
Verizon,2020,39.87,reported,
Verizon,2021,40.98,reported,
Verizon,2022,38.94,reported,
Verizon,2023,28.64,reported,
Verizon,2024,35.54,reported,
Verizon,2025,40.53,reported,
Verizon,2026,47.10,reported,
Deutsche Telekom,2015,10.17,reported,EUR
Deutsche Telekom,2016,10.62,reported,
Deutsche Telekom,2017,12.28,reported,
Deutsche Telekom,2018,9.49,reported,
Deutsche Telekom,2019,11.37,reported,
Deutsche Telekom,2020,11.16,reported,
Deutsche Telekom,2021,13.93,reported,
Deutsche Telekom,2022,16.24,reported,
Deutsche Telekom,2023,18.28,reported,
Deutsche Telekom,2024,20.26,reported,
Deutsche Telekom,2025,31.32,reported,
Deutsche Telekom,2026,27.95,reported,
BT Group,2015,444.5,reported,GBp; London listing (BT-A.L)
BT Group,2016,440.8,reported,
BT Group,2017,308.2,reported,
BT Group,2018,204.1,reported,
BT Group,2019,193.2,reported,
BT Group,2020,116.0,reported,
BT Group,2021,174.4,reported,
BT Group,2022,186.8,reported,
BT Group,2023,146.6,reported,
BT Group,2024,130.5,reported,
BT Group,2025,179.4,reported,
BT Group,2026,208.8,reported,
MSCI World (URTH),2015,61.14,reported,iShares MSCI World ETF as benchmark
MSCI World (URTH),2016,58.87,reported,
MSCI World (URTH),2017,68.81,reported,
MSCI World (URTH),2018,76.70,reported,
MSCI World (URTH),2019,76.93,reported,
MSCI World (URTH),2020,82.29,reported,
MSCI World (URTH),2021,115.94,reported,
MSCI World (URTH),2022,110.58,reported,
MSCI World (URTH),2023,112.98,reported,
MSCI World (URTH),2024,141.31,reported,
MSCI World (URTH),2025,160.76,reported,
MSCI World (URTH),2026,204.93,reported,
